config_id,strategy,status,sharpe,n_trades,max_drawdown,profit_factor,cum_return,calmar,long_pct,params
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.5084255227892982,83,-0.06874269159035595,0.7224039908224471,-0.05489138556428752,-0.1273861150686504,0.4096,"{""long_period"": 43, ""short_period"": 3}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.7652656553743563,96,-0.10100943121078254,0.6378461645483581,-0.0831573850700299,-0.133006469838457,0.3542,"{""long_period"": 41, ""short_period"": 3}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.7652656553743563,96,-0.10100943121078254,0.6378461645483581,-0.0831573850700299,-0.133006469838457,0.3542,"{""long_period"": 51, ""short_period"": 18}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.7652656553743563,96,-0.10100943121078254,0.6378461645483581,-0.0831573850700299,-0.133006469838457,0.3542,"{""long_period"": 85, ""short_period"": 11}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.5084255227892982,83,-0.06874269159035595,0.7224039908224471,-0.05489138556428752,-0.1273861150686504,0.4096,"{""long_period"": 65, ""short_period"": 15}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.7652656553743563,96,-0.10100943121078254,0.6378461645483581,-0.0831573850700299,-0.133006469838457,0.3542,"{""long_period"": 32, ""short_period"": 16}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.7652656553743563,96,-0.10100943121078254,0.6378461645483581,-0.0831573850700299,-0.133006469838457,0.3542,"{""long_period"": 79, ""short_period"": 15}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.7652656553743563,96,-0.10100943121078254,0.6378461645483581,-0.0831573850700299,-0.133006469838457,0.3542,"{""long_period"": 93, ""short_period"": 14}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.6579580075300846,171,-0.11962929841825165,0.7341594549074628,-0.0994348051554158,-0.13528759287743963,0.386,"{""long_period"": 28, ""short_period"": 8}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.6579580075300846,171,-0.11962929841825165,0.7341594549074628,-0.0994348051554158,-0.13528759287743963,0.386,"{""long_period"": 63, ""short_period"": 7}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.1149014916481972,96,-0.045810494465313045,0.9532475565464914,-0.009386344510661782,-0.032048684872698734,0.4167,"{""long_period"": 87, ""short_period"": 13}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.636528005453502,159,-0.11306272880934964,0.740173016284865,-0.09433569386113039,-0.13548741690323993,0.3962,"{""long_period"": 77, ""short_period"": 8}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.636528005453502,159,-0.11306272880934964,0.740173016284865,-0.09433569386113039,-0.13548741690323993,0.3962,"{""long_period"": 96, ""short_period"": 9}"
